gh_project_name,team,lang,sloc,tests_per_kloc,build_success
47deg/appsly-android-rest,8,java,3741,3.41685649202733,0.029197080291970802
abarisain/dmix,10,java,43665,4.83132028321533,0.8489096573208723
AChep/AcDisplay,3,java,27734,0.301516195727085,0.4262295081967213
activeadmin/activeadmin,26,ruby,7029,130.546807901517,0.7749574105621806
ActiveJpa/activejpa,2,java,2713,72.5274725274725,0.6679841897233202
activerecord-hackery/ransack,18,ruby,3629,77.1869639794168,0.8635573473388319
activerecord-hackery/squeel,6,ruby,3081,201.882505679974,0.7539708265802268
activescaffold/active_scaffold,3,ruby,9325,25.1465798045603,0.7143649473100389
activewarehouse/activewarehouse-etl,6,ruby,4544,32.5005527304886,0.23809523809523808
adamfisk/LittleProxy,10,java,4094,15.3124228204495,0.7970540098199672
addthis/stream-lib,7,java,5371,31.2565554856304,0.7123287671232876
adelevie/parse_resource,5,ruby,1063,95.0413223140496,0.4968152866242038
adelevie/parse-ruby-client,8,ruby,1302,128.775834658188,0.7052896725440806
adhearsion/adhearsion,8,ruby,8376,208.848843464228,0.2625797306874557
afeld/magickly,5,ruby,575,136.363636363636,0.7304582210242587
agoragames/leaderboard,3,ruby,739,190.361445783133,0.8770053475935828
ai/autoprefixer-rails,4,ruby,244,142.857142857143,0.911735797129939
ai/r18n,3,ruby,2700,78.1309842972041,0.6744402985074627
airbnb/nerve,8,ruby,1132,4.25531914893617,0.8262910798122066
airbnb/synapse,9,ruby,3272,0,0.9680170575692963
airlift/airlift,14,java,26971,30.5610530676117,0.4616822429906542
airlift/slice,8,java,4700,23.7491353470141,0.9210526315789473
Albacore/albacore,8,ruby,3809,157.531290461804,0.7061328790459966
albertlatacz/java-repl,3,java,12327,15.3126329221608,0.9692832764505119
alecgorge/jsonapi,3,java,23712,0,0.6494845360824743
alexreisner/geocoder,11,ruby,5220,60.9638087865299,0.5712347354138398
alisnic/nyny,3,ruby,589,96.8992248062016,0.7184684684684685
alt3/cakebox,4,ruby,250,0,0
alvinsj/flatten_record,1,ruby,1366,0,0.9458333333333333
amahi/platform,7,ruby,5386,4.61538461538462,0.8418079096045198
amatsuda/active_decorator,4,ruby,247,9.43396226415094,0.7219945355191257
amatsuda/kaminari,13,ruby,970,59.2503022974607,0.610257414113732
ananthakumaran/fake_dynamo,3,ruby,1787,85.739282589676293,0.7096774193548387
ankane/groupdate,4,ruby,435,491.891891891892,0.722567287784679
ankane/searchkick,8,ruby,1906,156.542056074766,0.7731775463550927
anthonycr/Lightning-Browser,9,java,15399,0,0.6567944250871081
antirez/redis-doc,18,ruby,283,0,0.917864476386037
aol/micro-server,6,java,9201,75.3275109170306,0.1686143572621035
apache/drill,24,java,220271,18.9699888847721,0.20591715976331362
apache/flink,41,java,194049,24.2716141863127,0.278816199376947
apache/jackrabbit-oak,16,java,194257,32.4468211245228,0.540053050397878
apache/sling,9,java,279079,6192.30769230769,0.058069029850746266
apache/storm,28,java,177934,3.90701857941929,0.3064935064935065
apache/tajo,10,java,172759,11.4857891274301,0.8228941684665226
apneadiving/Google-Maps-for-Rails,4,ruby,1265,158.150851581509,0.4706994328922495
applicationsonline/librarian,2,ruby,3749,63.3370535714286,0.7289719626168224
aprescott/serif,2,ruby,1174,107.58196721311501,0.8862745098039215
aq1018/mongoid-history,7,ruby,480,306.264501160093,0.8545150501672241
arangamani/jenkins_api_client,6,ruby,2745,128,0.7897020538038761
arches/table_print,3,ruby,747,294.797687861272,0.6752827140549273
ari/jobsworth,8,ruby,27733,78.702448721424,0.35681233933161954
ariejan/imdb,2,ruby,386,213.375796178344,0.9003115264797508
arsduo/batch_api,3,ruby,1350,29.1479820627803,0.628125
arsduo/koala,5,ruby,4745,447.368421052632,0.633206106870229
artem-zinnatullin/android-wail-app,5,java,6323,0,0.8555555555555555
ArturT/knapsack,3,ruby,1047,31.0880829015544,0.8382352941176471
asakusarb/action_args,3,ruby,410,68.5714285714286,0.7580174927113703
asciidocfx/AsciidocFX,6,java,15623,0,0.8427876823338736
asciidoctor/asciidoctor,28,ruby,10510,0.679655641141822,0.9135506551613934
asciidoctor/asciidoctor-diagram,4,ruby,1278,59.2885375494071,0.8308157099697885
asciinema/asciinema.org,3,ruby,3039,121.095421480531,0.554150632215503
ashmckenzie/percheron,3,ruby,1783,132.075471698113,0.8927444794952681
asm-helpful/helpful-web,31,ruby,3786,69.2375109553024,0.7448151487826871
assaf/vanity,8,ruby,2806,120.887245841035,0.9615981380915438
atmos/heaven,3,ruby,2791,166.471734892788,0.7339055793991416
attr-encrypted/attr_encrypted,8,ruby,333,553.719008264463,0.8767019667170953
avdi/naught,4,ruby,482,174.418604651163,0.87409200968523
avoinministerio/avoinministerio,9,ruby,5797,44.7761194029851,0.04048582995951417
awestruct/awestruct,9,ruby,4899,38.1779884149552,0.6724806201550387
aws/aws-sdk-java,10,java,1379466,0.701430031246862,0.34081346423562414
aws/aws-sdk-ruby,7,ruby,140666,82.2145328719723,0.665625
azagniotov/stubby4j,4,java,4981,95.3441295546559,0.772020725388601
azkaban/azkaban,16,java,32013,10.0584137694062,0.9470899470899471
Azure/azure-sdk-for-ruby,10,ruby,139309,147.161878065872,0.9325551232166018
AzureAD/azure-activedirectory-library-for-android,16,java,10514,0.305203723485427,0.7036516853932584
balanced/balanced-ruby,14,ruby,2497,44.1988950276243,0.6246612466124661
bartdag/py4j,3,java,9285,28.1058101086443,0.6500956022944551
BaseXdb/basex,7,java,77260,10.1069074679537,0.855191256830601
basho/riak-java-client,5,java,77504,26.9259914119727,0.5934579439252337
bbatsov/powerpack,4,ruby,309,343.065693430657,0.9318181818181818
bbatsov/rubocop,48,ruby,22686,215.256104277584,0.9634502923976608
